Team,Year,Rank,Result,Change,Combinations,Expected_Value,Lottery_Chance,Difference,Standard_deviation,Z
ATL,1992,10,10,0,30.303,9.248644973196106,0.10077826211115462,-0.7513550268038944,2.4272217356001873,-0.30955351782811236
ORL,1992,11,11,0,15.152,10.543266663969908,0.05119864626956763,-0.4567333360300925,1.975105619808388,-0.2312450187217845
DEN,1991,1,4,-3,166.667,3.046250371924912,0.46506604114330985,-0.9537496280750881,1.1639742831239999,-0.8193906359471378
MIA,1991,2,5,-3,151.515,3.385219215450476,0.4321944891980974,-1.6147807845495241,1.4015899210280032,-1.1521064473445664
SAC,1991,3,3,0,136.364,3.7867278660400756,0.39742554136437624,0.7867278660400756,1.6351421745720032,0.4811372847416163
BKN,1991,4,2,2,121.212,4.260790039581934,0.3607310268089362,2.2607900395819343,1.8629929533598755,1.2135258136670022
CHA/NOP,1991,5,1,4,106.061,4.818097212925365,0.32210825492197026,3.818097212925365,2.080360905890628,1.8353052117612212
DAL,1991,6,6,0,90.909,5.469798147323568,0.2815598954191598,-0.5302018526764316,2.2788073786964103,-0.23266637524218178
MIN,1991,7,7,0,75.758,6.227232895669925,0.2391134751819376,-0.7727671043300752,2.444314455088492,-0.31614880921779703
WAW,1991,8,8,0,60.606,7.101901910465323,0.19479891676582323,-0.8980980895346766,2.554073924838036,-0.35163355328159834
LAC,1991,9,9,0,45.455,8.105235063451811,0.14866972533983028,-0.8947649365481887,2.57062993286069,-0.34807224684902893
ORL,1991,10,10,0,30.303,9.248644973196106,0.10077826211115462,-0.7513550268038944,2.4272217356001873,-0.30955351782811236
CLE,1991,11,11,0,15.152,10.543266663969908,0.05119864626956763,-0.4567333360300925,1.975105619808388,-0.2312450187217845
BKN,1990,1,1,0,166.667,3.046250371924912,0.46506604114330985,2.046250371924912,1.1639742831239999,1.757985895043114
MIA,1990,2,3,-1,151.515,3.385219215450476,0.4321944891980974,0.3852192154504759,1.4015899210280032,0.2748444531963635
ORL,1990,3,4,-1,136.364,3.7867278660400756,0.39742554136437624,-0.2132721339599244,1.6351421745720032,-0.1304303303263205
CHA/NOP,1990,4,5,-1,121.212,4.260790039581934,0.3607310268089362,-0.7392099604180657,1.8629929533598755,-0.39678623533433843
MIN,1990,5,6,-1,106.061,4.818097212925365,0.32210825492197026,-1.1819027870746348,2.080360905890628,-0.5681239172145699
SAC,1990,6,7,-1,90.909,5.469798147323568,0.2815598954191598,-1.5302018526764316,2.2788073786964103,-0.6714924073801193
LAC,1990,7,8,-1,75.758,6.227232895669925,0.2391134751819376,-1.7727671043300752,2.444314455088492,-0.725261473882621
DAL,1990,8,9,-1,60.606,7.101901910465323,0.19479891676582323,-1.8980980895346766,2.554073924838036,-0.7431648986648037
GSW,1990,9,10,-1,45.455,8.105235063451811,0.14866972533983028,-1.8947649365481887,2.57062993286069,-0.7370819550208948
SEA/OKC,1990,10,2,8,30.303,9.248644973196106,0.10077826211115462,7.248644973196106,2.4272217356001873,2.986395872647255
ATL,1990,11,11,0,15.152,10.543266663969908,0.05119864626956763,-0.4567333360300925,1.975105619808388,-0.2312450187217845
MIA,1989,1,4,-3,111.111,3.333323676986933,0.33333291007684795,-0.6666763230130668,1.0540916894287684,-0.6324652112325739
CHA/NOP,1989,2,5,-3,111.111,3.749988978726198,0.33333291007684795,-1.250011021273802,1.3819257236670532,-0.9045428418227829
LAC,1989,3,2,1,111.111,4.166654280465481,0.33333291007684795,2.1666542804654814,1.6844275542207205,1.2862852279021624
SAS,1989,4,3,1,111.111,4.583319582204764,0.33333291007684795,1.5833195822047639,1.973281968898176,0.8023787817251703
CHI,1989,5,6,-1,111.111,4.999984883944047,0.33333291007684795,-1.0000151160559527,2.253742517639204,-0.44371311639604194
SAC,1989,6,1,5,111.111,5.41665018568333,0.33333291007684795,4.41665018568333,2.5286037662168637,1.7466754754902707
IND,1989,7,7,0,111.111,5.833315487422612,0.33333291007684795,-1.1666845125773877,2.7995154475217476,-0.4167451598133482
DAL,1989,8,8,0,111.111,6.249980789161893,0.33333291007684795,-1.750019210838107,3.0675241708868484,-0.5704989148731503
WAW,1989,9,9,0,111.111,6.6666460909012155,0.33333291007684795,-2.3333539090987845,3.3333302267721088,-0.7000068251138533
LAC,1988,1,1,0,142.857,3.142848330007661,0.42857083111179284,2.142848330007661,1.1248572640884686,1.904995770058101
BKN,1988,2,4,-2,142.857,3.4285616811194775,0.42857083111179284,-0.5714383188805225,1.3997070470315354,-0.40825565613348525
GSW,1988,3,5,-2,142.857,3.714275032231299,0.42857083111179284,-1.2857249677687008,1.648745526335444,-0.7798201403623489
LAC,1988,4,6,-2,142.857,3.9999883833431182,0.42857083111179284,-2.0000116166568818,1.8822459573277857,-1.0625665624997742
PHX,1988,5,7,-2,142.857,4.285701734454942,0.42857083111179284,-2.7142982655450583,2.105384505810447,-1.2892173653098185
PHI,1988,6,3,3,142.857,4.571415085566762,0.42857083111179284,1.5714150855667617,2.3211514450592956,0.6769980859765136
IND,1988,7,2,5,142.857,4.857128436678592,0.42857083111179284,2.8571284366785923,2.53143243730882,1.1286607513475737
LAC,1987,1,4,-3,142.857,3.142848330007661,0.42857083111179284,-0.8571516699923389,1.1248572640884686,-0.7620092765164603
NYK,1987,2,5,-3,142.857,3.4285616811194775,0.42857083111179284,-1.5714383188805225,1.3997070470315354,-1.1226908675020182
BKN,1987,3,3,0,142.857,3.714275032231299,0.42857083111179284,0.7142750322312992,1.648745526335444,0.4332233330263345
SAS,1987,4,1,3,142.857,3.9999883833431182,0.42857083111179284,2.9999883833431182,1.8822459573277857,1.593834414500316
SAC,1987,5,6,-1,142.857,4.285701734454942,0.42857083111179284,-1.7142982655450583,2.105384505810447,-0.8142447428552516
CLE,1987,6,7,-1,142.857,4.571415085566762,0.42857083111179284,-2.4285849144332383,2.3211514450592956,-1.046284558296539
PHX,1987,7,2,5,142.857,4.857128436678592,0.42857083111179284,2.8571284366785923,2.53143243730882,1.1286607513475737
NYK,1986,1,5,-4,142.857,4.0,1.0,-1.0,2.0,-0.5
IND,1986,2,4,-2,142.857,4.0,1.0,0.0,2.0,0.0
DAL,1986,3,7,-4,142.857,4.0,1.0,-3.0,2.0,-1.5
GSW,1986,4,3,1,142.857,4.0,1.0,1.0,2.0,0.5
BOS,1986,5,2,3,142.857,4.0,1.0,2.0,2.0,1.0
PHI,1986,6,1,5,142.857,4.0,1.0,3.0,2.0,1.5
PHX,1986,7,6,1,142.857,4.0,1.0,-2.0,2.0,-1.0
IND,1985,1,2,-1,142.857,4.0,1.0,2.0,2.0,1.0
GSW,1985,2,7,-5,142.857,4.0,1.0,-3.0,2.0,-1.5
NYK,1985,3,1,2,142.857,4.0,1.0,3.0,2.0,1.5
SAC,1985,4,6,-2,142.857,4.0,1.0,-2.0,2.0,-1.0
LAC,1985,5,3,2,142.857,4.0,1.0,1.0,2.0,0.5
SEA/OKC,1985,6,4,2,142.857,4.0,1.0,0.0,2.0,0.0
ATL,1985,7,5,2,142.857,4.0,1.0,-1.0,2.0,-0.5
