Team,Year,Rank,Result,Change,Combinations,Expected_Value,Lottery_Chance,Difference,Standard_deviation,Z
CHA/NOP,2021,10,10,0,45.0,8.707242107167659,0.20181032425112705,-1.2927578928323413,3.14176913066026,-0.4114745033988736
CHA,2021,11,11,0,18.0,10.435289788757245,0.08457673644283376,-0.5647102112427547,2.4205483156807235,-0.23329846695662546
SAS,2021,12,12,0,17.0,11.318414466864331,0.08000997019770896,-0.681585533135669,2.5927390178547616,-0.2628824299098235
IND,2021,13,13,0,10.0,12.530253495916387,0.04760409463554484,-0.46974650408361285,2.228863030585165,-0.21075611091287458
GSW,2021,14,14,0,5.0,13.727672943645647,0.023992509176548132,-0.27232705635435295,1.745469441016795,-0.15601937791343584
GSW,2020,1,2,-1,140.0,3.66509894253385,0.5200367168889247,1.66509894253385,1.5134445658615938,1.1002047779569122
CLE,2020,2,5,-3,140.0,3.862682847234847,0.5200367168889247,-1.1373171527651529,1.7252735684196283,-0.6592097471283637
MIN,2020,3,1,2,140.0,4.060266751935837,0.5200367168889247,3.0602667519358366,1.9288127183973434,1.5866064770034398
ATL,2020,4,6,-2,125.0,4.434038019224532,0.4793803392223348,-1.5659619807754677,2.114198135543987,-0.7406883746837393
DET,2020,5,7,-2,105.0,4.959068914790739,0.41982833656234153,-2.0409310852092606,2.295192755769339,-0.8892199054214727
NYK,2020,6,8,-2,90.0,5.5289866265204655,0.37097931705826837,-2.4710133734795345,2.4852601761173476,-0.9942674804132297
CHI,2020,7,4,3,75.0,6.2161441329915075,0.3184358133028502,2.2161441329915075,2.656047957154068,0.8343765507028293
CHA,2020,8,3,5,60.0,7.041058754760695,0.26214613248597607,4.041058754760695,2.782903656492431,1.4521015649726234
WAW,2020,9,9,0,45.0,8.02552690497284,0.2021020484300228,-0.9744730950271592,2.8237532904574416,-0.34509852483227976
PHX,2020,10,10,0,30.0,9.192280894519387,0.13833873030538535,-0.8077191054806132,2.7012582516574253,-0.2990158771324499
SAS,2020,11,11,0,20.0,10.348661531325252,0.0937999125119784,-0.6513384686747479,2.5304252010447192,-0.2574027749983814
SAC,2020,12,12,0,13.0,11.500544099650176,0.06167611238066699,-0.49945590034982423,2.304207695893853,-0.2167581946887276
CHA/NOP,2020,13,13,0,12.0,12.432487956190627,0.05702424554057655,-0.5675120438093728,2.4269297261799596,-0.2338395041634144
BOS,2020,14,14,0,5.0,13.727302694726209,0.02402767534978432,-0.2726973052737911,1.7465328130826054,-0.15613637672943817
NYK,2019,1,3,-2,140.0,3.6659431600784376,0.5195313028246746,0.6659431600784376,1.5136303577553676,0.43996419381149005
CLE,2019,2,5,-3,140.0,3.8641068338386426,0.5195313028246746,-1.1358931661613574,1.7258895969581196,-0.6581493788266463
PHX,2019,3,6,-3,140.0,4.062270507598859,0.5195313028246746,-1.9377294924011412,1.9298858493264135,-1.0040643041542925
CHI,2019,4,7,-3,125.0,4.436608813950809,0.4788987095470929,-2.5633911860491914,2.115620270923414,-1.2116499455407168
ATL,2019,5,8,-3,105.0,4.962191661996893,0.41939004400195423,-3.0378083380031073,2.2968627182526804,-1.3225902940834424
